序号,评论标识号,上级评论,用户标识符,时间,用户名,性别,评论内容,评论点赞数,评论回复数,粉丝牌,评论IP,主页IP,用户简介,微博认证,是否认证,会员等级,年龄,星座,学历,公司,微博注册日期,信用,用户粉丝数,用户关注数,用户转赞评数
31,5152795120370198,,7992608654,2025-04-07 13:59:13,用户7992608654,女,@anonymity匿名用户 ,0,0,,河南,河南,,,否,0,,,,,2025-04-07 13:53:56,较低,2,5,5
32,5152777240051893,,5969664735,2025-04-07 12:48:10,等fw绝长_消旋莨菪碱,女,…,0,0,,中国台湾,中国台湾,逻辑无，求生意志0，吸灰吃霉打工人，加油！,,否,1,26,巨蟹座,,,2016-06-26 21:15:31,较好,152,732,868
33,5152762358926865,,7007560510,2025-04-07 11:49:03,太费脑子了_,女,[哇],0,0,,山东,山东,,,否,0,,,,,2019-02-23 11:12:25,较好,49,172,7514
34,5152757188926062,,7508822466,2025-04-07 11:28:30,小莉花球日记,女,。,0,0,,陕西,陕西,目前成分只有理砂和佣囚，看你主页就是误触，或者你头像太好看了,,否,0,18,狮子座,,,2020-10-01 10:35:24,较好,86,257,2160
35,5152751827291529,,7599088639,2025-04-07 11:07:12,给猫猫小鱼干,女,挺好,0,0,,云南,云南,٩(￥A￥)۶恭喜发财,,否,0,,,,,2021-04-26 10:11:00,较好,179,290,590
36,5152701060220227,,6581084466,2025-04-07 07:45:28,嘎嘣脆虾饼,女,#原神[超话]# 抽到啦，瓦蕾莎太太太可爱了[爱你]#原神# #瓦雷莎# #原神瓦雷莎# ,0,0,,浙江,浙江,喜欢分享点点滴,,否,1,19,天蝎座,,,2018-06-22 17:18:49,一般,483,710,2171
37,5152628996833547,,5621720651,2025-04-07 02:59:07,漫了星辰,女,111,0,0,,浙江,浙江,若是时间有宽度，是否还有无数个可能反复相遇,,否,0,28,处女座,,,2015-05-31 15:05:41,较好,55,287,607
38,5152582481743007,,6998525795,2025-04-06 23:54:17,鱼写日记了吗,女,，,0,0,,贵州,贵州,我的秘密基地,,否,0,19,天蝎座,,,2019-02-16 21:02:16,较好,7,53,330
39,5152576573801433,,7851600226,2025-04-06 23:30:47,Yukimi_ana,女,新版本原神星铁托管/探索✨精托180/月，全托280/月350/版本全托✨每日返图，大活动40-50，小活动10深渊20/期✨超级认真全能代代，原铁双坑满级全勤[珊瑚宫心海]支持验证码/扫码/帐密✨可全程b直播，高质量高效率✅信誉图2k+http://t.cn/A6jDSzu3，四年千单无差评[送花花]祝板宝运气爆棚，生活愉快！,0,0,,四川,四川,你好呀，这里超级认真的代代，可全程直播，消息看到都会回哒(´▽｀)联系方式wx 13636509652（镇魂,,否,1,24,摩羯座,,,2023-07-17 16:54:59,一般,229,1077,118
40,5152423343035031,,7979229672,2025-04-06 13:21:55,7neizWYY,女,虽说瓦雷莎的攻击方式有些特别，但她伤害真的很高啊[泪],1,0,,四川,四川,爱👀漫画$$$,,否,0,,,,,2025-01-31 11:21:44,较低,1,16,0
41,5152413439230754,,6357530438,2025-04-06 12:42:33,我有魔法ox7,女,[打call],0,0,,山东,山东,有人说，人生就是一场场告别，但也不全然都是忧伤。有些告别，是永远结束；而有些，则是新的开始。（滚，少和我扯，都是你的错）,,否,0,,,,,2017-08-30 15:02:07,较好,43,88,5983
42,5152405911243010,,7980853968,2025-04-06 12:12:39,幸福收藏家,女,[开学季][开学季],0,0,,四川,四川,四级每日打卡，小女孩要幸福啊,,否,0,,,,,2025-02-08 11:50:41,较低,48,133,634
43,5152343399071919,,2119009264,2025-04-06 08:04:14,袅袅簁簁,女,[苦涩][苦涩][苦涩]抽到了 原石已被榨干,0,0,,湖北,湖北,我从来就没有太阳，所以不怕失去。,,否,0,,,,,2011-04-28 19:41:29,极好,433,365,4576
44,5152266786702550,,7529779239,2025-04-06 02:59:49,会游泳的夏,男,适配鸿蒙啊，别装死，没有消息啊，现在,0,0,,四川,四川,,,否,0,,,,,2020-12-02 12:45:45,一般,2,32,30
45,5152196728457746,,6490341037,2025-04-05 22:21:26,啵不啵赞不赞要赞亲啵亲赞啵啵吖,男,新活动这么久，你良心不会痛吗？又臭又长[微笑],0,0,,云南,云南,我爱你中华！🇨🇳 —— 画不来我去p图，p不了我去写字，写得不好我还能码个短篇，实在不行我还有一身虎躯！！ —— —— —— —— —— 唯爱博肖,,否,0,,,,,2018-02-19 18:20:29,较好,8,144,152
46,5152152226109739,,7771864717,2025-04-05 19:24:36,名字够长能引起你们的注意吗,女,[哇],0,0,,湖南,湖南,全力以赴做任何事,,否,0,23,水瓶座,,,2022-07-08 12:39:18,较好,7,557,5434
47,5152143331563251,,7782468112,2025-04-05 18:49:15,雨烟轻漠漠,女,来了来了,1,0,,辽宁,辽宁,,,否,0,24,天蝎座,,,2022-08-18 01:50:40,一般,101,177,94
48,5152115291589470,,7937425677,2025-04-05 16:57:50,用户7937425677,男,你能不能改一下你的抽卡机制啊，保底就保底，你歪是几个意思啊，还老是给我歪同一个角色，咋滴我和小提有缘呗？,2,0,,山东,山东,,,否,0,19,天蝎座,,,2024-07-27 22:50:34,较低,5,14,0
49,5152076418521035,,5944089736,2025-04-05 14:23:22,沐两岁啊,女,[送花花][送花花][送花花],0,0,,湖北,湖北,秦彻全肯定。流浪者我亲亲亲秦亲亲。,,否,0,,,,,2016-06-03 14:50:38,一般,14,43,107
50,5152068257189723,,7817637011,2025-04-05 13:50:56,咕咕哦_,女,[打call][打call][打call],0,0,,河北,河北,喜欢《判官》，喜欢易遇~,超话粉丝钻咖（判官by木苏里超话）,是,1,21,水瓶座,,,2023-01-26 16:52:02,较好,126,290,3909
51,5152062720445501,,7932333114,2025-04-05 13:28:56,RUDAN卤蛋,男,上鸿蒙！上鸿蒙！上鸿蒙！,3,0,,江西,江西,kaixxv.mysxl.cn！,,否,0,13,双鱼座,,,2024-07-07 19:02:52,较低,25,76,7
52,5152034396835919,,7737941529,2025-04-05 11:36:23,莲雾气泡水,女,[送花花],0,1,,广东,广东,镇魂 LGBT 溺爱孩子们的孩宝妈一位,,否,0,28,双鱼座,,,2022-01-24 14:43:37,较好,336,428,261
53,5152068210000211,5152034396835919,7817637011,2025-04-05 13:50:44,咕咕哦_,女,[打call],0,0,钻粉1,河北,河北,喜欢《判官》，喜欢易遇~,超话粉丝钻咖（判官by木苏里超话）,是,1,21,水瓶座,,,2023-01-26 16:52:02,较好,126,290,3909
54,5152019439159529,,7810496879,2025-04-05 10:36:57,愢若,女,好可惜，最近几天不能玩游戏了[允悲],1,0,,安徽,安徽,,,否,0,,,,,2022-12-24 16:02:09,较低,2,20,2
55,5152014455801958,,6430787038,2025-04-05 10:17:09,夏习清坐拥馥芮白,女,[种树],0,0,,湖北,湖北,我的航班总是不能到达终点！,,否,1,,,,,2017-12-17 11:11:39,较好,59,383,1401
56,5152005695209598,,7893340672,2025-04-05 09:42:19,2023000Lucia,男,#原神[超话]##原神# #瓦雷莎# #原神瓦雷莎# @原神 耶耶耶,0,0,,广东,广东,原神启动！,,否,0,23,天秤座,,,2023-12-27 10:21:40,较低,16,22,7
57,5151981379782629,,7110408481,2025-04-05 08:05:43,这是我自己的地,男,优化下老角色吧，优化下老角色建模优化下老角色吧，优化下老角色建模优化下老角色吧，优化下老角色建模优化下老角色吧，优化下老角色建模优化下老角色吧，优化下老角色建模,2,2,,辽宁,辽宁,我好困啊,,否,0,,,,,2019-05-01 12:10:13,较好,6,358,128
58,5152796454424503,5151981379782629,7110408481,2025-04-07 14:04:32,这是我自己的地,男,回复@打倒走资派_:对的，天天拉绫华出来对比气死了,0,0,金粉1,辽宁,辽宁,我好困啊,,否,0,,,,,2019-05-01 12:10:13,较好,6,358,128
59,5152785651205517,5151981379782629,7472956382,2025-04-07 13:21:36,打倒走资派_,女,真该优化优化了，某些生物天天盯着这个拉踩辱骂，玩家都不知道抗压多少了,0,0,铁粉1,河北,河北,“日出东方却落于西，人海相识却散于席”,,否,0,,,,,2020-06-20 15:03:49,一般,3,155,4
60,5151879734494151,,7961318201,2025-04-05 01:21:49,水三千Qian,女,[允悲][允悲][允悲],0,0,,湖南,湖南,若无闲事挂心头，便是人间好时节！！,,否,0,,,,,2024-11-11 11:46:13,较低,1,14,0
61,5151868520764189,,7200845909,2025-04-05 00:37:15,是楠希吖,女,米哈游！！！！！！我的成就被你吞了啊  我靠！！！！,0,0,,贵州,贵州,,,否,0,,,,,2019-06-20 08:47:02,较低,1,70,0
62,5151856952871074,,7738091612,2025-04-04 23:51:17,Z_ery,女,我真吐了能不能赶紧修修你那个匹配的bug，不管什么匹配都能在给我传那个常恒机关列阵那儿，冒着两千万的七色光，老娘tm辛辛苦苦打的核爆一遇到这种bug就tm没了，烦不烦啊。去找客服娘还只能重置到0，bug修不好就算了，重置还不能重置到上一次的，真不知道你家技术团队干tm什么吃的[害羞][害羞],0,0,,河北,河北,,,否,0,,,,,2022-01-25 22:09:13,一般,3,19,0
63,5151762742773081,,7857093122,2025-04-04 17:36:56,爱ZY的J川,男,有没有恋与提瓦特？,0,0,,重庆,重庆,,,否,0,19,双子座,,,2023-07-26 10:21:00,较低,52,203,0
64,5151705893700710,,6321367511,2025-04-04 13:51:02,阿九咯·,男,mhy，加强优菈！！！！,1,0,,浙江,浙江,迷失自我,,否,0,23,金牛座,,,2017-07-25 15:00:03,较好,11,134,3
65,5151664692791880,,7634147172,2025-04-04 11:07:19,汐墨燃,女,这是做给谁看的？八岁幼稚儿童？？我联系换个人设计角色立绘和PV！！！！！！,1,1,,湖北,湖北,,,否,0,17,金牛座,,,2021-06-25 12:39:11,一般,2,105,134
66,5151666865177758,5151664692791880,7979040100,2025-04-04 11:15:56,zzy的weibuo,男,6,1,0,,浙江,浙江,,,否,0,25,射手座,,,2025-01-28 22:37:16,较低,44,137,5
67,5151663460189460,,1812250407,2025-04-04 11:02:25,NANA娜丽,女,[doge][doge],0,0,,湖南,湖南,抹茶的铲屎官,,否,1,34,天蝎座,,,2010-09-05 22:55:41,较好,450,392,1914
68,5151521060421971,,7433283918,2025-04-04 01:36:33,grooooooy,男,新活动就是一坨,1,0,,贵州,贵州,谁惹你了,,否,0,,,,,2020-04-09 00:21:28,较好,14,245,3012
69,5151468462806827,,6318314959,2025-04-03 22:07:34,-路远星亦辞,女,我恨你,0,0,,四川,四川,梦中情人唐奕川,,否,0,26,狮子座,,,2017-07-15 15:07:38,较好,59,487,378
70,5151468433704872,,6318314959,2025-04-03 22:07:27,-路远星亦辞,女,什么时候复刻神里绫人,1,0,,四川,四川,梦中情人唐奕川,,否,0,26,狮子座,,,2017-07-15 15:07:38,较好,59,487,378
71,5151436556732186,,5059170475,2025-04-03 20:00:47,免灾发财常薪袭,女,卡哇伊,0,0,,吉林,吉林,这个号是你来过我生命的证明 (-^〇^-),,否,0,29,水瓶座,,婚礼,2014-04-07 17:35:38,较好,39,439,210
72,5151406885966602,,6011748988,2025-04-03 18:02:53,欢畅攀炼,男,不如火影一根毛[允悲][允悲][允悲] 乐子游戏不如火影[允悲][允悲][允悲],0,0,,湖北,湖北,火影就是最好玩的游戏，其他游戏都是垃圾，不服就去火影官方评论区辩一辩,,否,0,28,狮子座,,,2016-08-27 20:39:05,,13,54,0
73,5151356130431018,,7762206681,2025-04-03 14:41:12,有只鼠希人,女,[努力],0,0,,湖北,湖北,"有自介条，直搜""自介""",,否,0,,,,星际和平公司,2022-05-30 11:53:59,较好,774,747,15826
74,5151348338983744,,7971438133,2025-04-03 14:10:13,DML秋有灵泽,男,[污],0,0,,江苏,江苏,秋有灵泽，凝雨化春,,否,0,26,双鱼座,,,2024-12-29 05:28:48,较低,27,69,15
75,5151331929822166,,2956290611,2025-04-03 13:05:02,姬玥的项圈,女,[比耶],0,0,,重庆,重庆,,,否,0,,,,新平县委党校,2012-09-14 23:18:57,较好,52,684,1463
76,5151320613326844,,5621720651,2025-04-03 12:20:04,漫了星辰,女,[干饭人][干饭人][干饭人],0,0,,浙江,浙江,若是时间有宽度，是否还有无数个可能反复相遇,,否,0,28,处女座,,,2015-05-31 15:05:41,较好,55,287,607
77,5151313898245705,,3781388625,2025-04-03 11:53:23,牛子大大nzdd,女,✌🏻[兔子],0,0,,浙江,浙江,🙌 🙌 🙌,,否,0,118,狮子座,,,2013-09-11 20:02:24,较好,35,86,115
78,5151226783596853,,7978511904,2025-04-03 06:07:13,老榆木233,男,[心],0,0,,贵州,贵州,,,否,0,19,双子座,,,2025-01-31 17:29:31,较低,5,52,3
79,5151148299783279,,2631312621,2025-04-03 00:55:21,美少女战士的小弯月,女,祝圣之霜预警：你们弄的这个祝圣之霜这么难获得，每个月花70块才能得一个，四个月280块钱用来合出一个无法保证毕业的垃圾装备，试问：玩家连最喜欢一两个角色都养不好，还愿意买新角色来养吗？新角色卡还怎么卖呢？？,4,0,,贵州,贵州,,,否,0,,,,,2012-02-25 21:14:38,较好,599,836,276
80,5151127315418317,,7718947804,2025-04-02 23:31:58,我的偶八,女,[doge],0,0,,四川,四川,,,否,0,18,狮子座,,,2021-10-30 13:24:27,一般,2,33,289
81,5151104304939570,,5874245326,2025-04-02 22:00:31,一只米虫___,女,#原神[超话]# #原神瓦雷莎# ,0,0,,广东,广东,懒了点，好吃了点，爱笑了点，没啥缺点✺◟(∗❛ัᴗ❛ั∗)◞✺,,否,0,27,摩羯座,,,2016-03-05 01:19:45,较好,46,254,33
82,5151026060987883,,7408243967,2025-04-02 16:49:37,男厕女厕儿童厕,女,@绝区零 好耶,0,0,,湖南,湖南,都tm是群剑÷玩意儿，就你们这两个群体天天犬吠，搞得tm人心惶惶，那祝zng有cmg的笔透，cmg有zng的吊扭，zng和cmg99锁死捏,,否,0,,,,,2020-03-08 21:09:54,较好,1,20,46
83,5150996118113530,,7914223151,2025-04-02 14:50:38,棒棒的老丝儿,男,鸿蒙系统什么时候可以下载原神呀,2,0,,广东,广东,介绍一下自己,,否,0,,,西北农林科技大学,,2024-04-07 14:38:06,较低,10,4,0
84,5150964849316466,,7990858103,2025-04-02 12:46:23,纯火批的哥们,男,身上全是弱点,0,0,,山东,山东,,,否,0,19,狮子座,,,2025-03-29 20:00:52,较低,71,137,11
85,5150961261609796,,7976161243,2025-04-02 12:32:07,无机盐_盐盐盐盐,女,复刻娜维娅好不好[泪],0,0,,福建,福建,这个只做自己,,否,0,,,,,2025-01-19 01:33:49,较低,2,26,7
86,5150959563967994,,5584497769,2025-04-02 12:25:23,温柔皆失过往,男,尼露二号？,1,0,,江西,江西,我喜欢愿意和我好好说话的人,,否,0,27,水瓶座,南昌二中,,2015-04-11 01:38:19,较好,67,214,113
87,5150938340263373,,7317002444,2025-04-02 11:01:03,韦伯不就是互联网芬吭,男,牛为什么吃肉[doge],1,1,,河南,河南,网络智能的发展比人脑发展要快很多，导致很多思想智力不全的人同处一个讨论平台上，韦伯是个芬吭，遇到史不要去理。,,否,1,24,天蝎座,清华大学,,2019-10-09 21:28:49,较好,112,415,95
88,5150964957053664,5150938340263373,7990858103,2025-04-02 12:46:48,纯火批的哥们,男,[允悲],0,0,铁粉1,山东,山东,,,否,0,19,狮子座,,,2025-03-29 20:00:52,较低,71,137,11
89,5150925069487709,,2297917145,2025-04-02 10:08:19,好学的小腊肉,男,能不能复刻往期活动限定武器啊[裂开]，我想要给可莉一本故事书[允悲],0,0,,浙江,浙江,我们都是小怪兽，早晚要被正义的奥特曼打败。,,否,0,29,金牛座,浙江工商大学,,2011-08-11 11:50:27,较好,198,136,105
90,5150770487886782,,5428756113,2025-04-01 23:54:03,唯丶166761,女,[doge],0,0,,广东,广东,我为自己代言,,否,0,26,摩羯座,,,2015-01-18 21:58:29,较好,14,410,0
91,5150770128224825,,7894037297,2025-04-01 23:52:37,祂69568,男,转发微博,0,0,,安徽,安徽,,,否,0,,,,,2023-12-29 04:54:31,一般,172,511,1480
92,5150758950408597,,7989283339,2025-04-01 23:08:13,tdcbf,女,我天，你小子在这都有1千万粉丝[允悲]。,0,0,,湖南,湖南,,,否,0,0,双鱼座,,,2025-03-24 00:08:30,一般,1,60,0
93,5150749773794919,,2703692560,2025-04-01 22:31:45,Almostlucker,男,伊安珊bug修不修了，别装死,1,0,,河北,内蒙古,+,,否,0,,,,,2012-02-04 10:33:13,较好,262,1506,1483
94,5150723479178371,,7776915437,2025-04-01 20:47:16,用户7776915437,男,路边一条不如壮志雄心,0,0,,广东,广东,,,否,0,24,狮子座,,,2022-07-27 12:40:11,较低,9,32,1
95,5150718873306531,,5099284180,2025-04-01 20:28:58,牛奶咖啡万突万_454,女,满命满精老婆+1[馋嘴]只用了450抽满命，波刚们气不气嘛 [开学季][开学季],0,0,,广东,广东,,,否,0,28,天蝎座,,,2014-04-08 21:44:59,较好,4,90,142
96,5150709450016403,,6068383070,2025-04-01 19:51:31,你像月色轰鸣,男,流水也破防了[笑cry][笑cry],2,0,,湖北,湖北,,,否,0,,,,,2016-11-13 16:40:16,较低,3,32,0
97,5150686100063687,,6581237235,2025-04-01 18:18:44,死亡凝视68838,男,就喜欢看这群人破防[开学季],1,0,,山西,山西,少跟网络上的巨婴计较,,否,0,,,,,2018-06-23 01:03:31,较好,5,100,18
98,5150649738334354,,5548123734,2025-04-01 15:54:15,犹堪赠所欢,女,恶俗,3,0,,广东,广东,,,否,0,,,,,2015-04-11 07:26:54,较好,10,360,28
99,5150630613092440,,6305585539,2025-04-01 14:38:15,也把青梅嗅,女,可爱,1,0,,浙江,浙江,꒰ᐢ⸝⸝•༝•⸝⸝ᐢ꒱,,否,0,29,射手座,,,2017-07-11 22:45:42,较好,83,249,2251
100,5150601890500544,,6104801221,2025-04-01 12:44:07,贺贺贺贺六六,女,可爱[送花花],0,0,,河南,河南,别犹豫就现在,,否,1,23,双子座,,,2017-01-16 16:45:07,较好,259,1192,820
101,5150591622057843,,7990597230,2025-04-01 12:03:19,ALIEZ556,男,有没有代肝联系一下我,0,0,,浙江,浙江,,,否,0,20,摩羯座,,,2025-04-01 11:51:56,较低,10,6,0
102,5150590742298906,,2114594617,2025-04-01 11:59:48,吞了一口仙女粉,女,[太开心],0,0,,河北,河北,勿忘初心，方得始终。,,否,0,,,,,2011-05-01 09:56:05,较好,116,454,834
103,5150586656260842,,6223004675,2025-04-01 11:43:34,高脚杯搭配香槟-_-,男,这就是新的祝胜之霜吗，太棒了，同一个圣遗物弄了三次，直接拉三坨大的，双爆10.1 7.0，改了和没改一样的玩意，你优化啥了，你每天收钱干啥活了，恶心尼嘛呢，垃圾公司，快jb倒闭吧,0,0,,山西,山西,,,否,1,24,狮子座,,,2017-04-30 20:05:00,较好,29,529,109
104,5150586652330383,,6297353684,2025-04-01 11:43:34,藏玉时,女,好可爱[春游家族],0,0,,陕西,陕西,站在太阳下的坦荡,,否,1,,,,,2017-06-25 19:56:18,较好,20,1010,825
105,5150579396185565,,7991093056,2025-04-01 11:14:44,芙的兵,女,求带[泪][泪][泪][泪],0,0,,山西,山西,,,否,0,19,白羊座,,,2025-04-01 11:11:21,较低,1,86,0
106,5150569371534919,,7389211257,2025-04-01 10:34:54,疏星星星星星星,女,[淡淡的],1,0,,四川,四川,我累了,,否,0,,,,,2020-02-09 13:46:12,较好,94,116,9856
107,5150566099715344,,7405986586,2025-04-01 10:21:53,平平平初,女,@神明颂夏 [赢牛奶],0,0,,河南,河南,,,否,0,,,,,2020-03-04 16:33:39,较好,4,220,67
108,5150548714590112,,7963279134,2025-04-01 09:12:49,Ayako0000,女,[抓狂]真的很喜欢这次的活动,0,0,,河北,河北,乙代梦一体/xp是雷电芽衣/不磕任何cp/球桌两边只支持早田希娜,,否,1,,,,,2024-11-21 09:36:33,较低,10,106,200
109,5150433716470220,,7536952962,2025-04-01 01:35:51,归殷,女,。,0,0,,河北,河北,爱看小说，爱磕cp，不拆不逆,,否,0,,,,,2020-12-17 17:41:37,较好,21,1582,885
